YEAR,Q,C_HH,C_NP,Y,C_HH_N,C_NP_N,Y_N
1961,1,182407,2796,343577,25196,344,40600
1961,2,185810,2924,352261,25684,364,41496
1961,3,190345,3020,360748,26328,376,42604
1961,4,191069,3048,365775,26520,384,43404
1962,1,195471,3144,375481,27204,396,44624
1962,2,196588,3300,378238,27516,416,45132
1962,3,195753,3460,383219,27540,440,46068
1962,4,199321,3588,391021,28240,460,47132
1963,1,200672,3624,393401,28532,464,47584
1963,2,204314,3720,399154,29252,488,48556
1963,3,205500,3724,402265,29604,488,49352
1963,4,209036,3756,414891,30288,496,51360
1964,1,212965,3756,425171,30888,508,52576
1964,2,213572,3756,426739,31120,508,53420
1964,3,217794,3820,431191,31888,516,54580
1964,4,219341,3984,433525,32420,548,55324
1965,1,221340,4048,447172,32756,564,57268
1965,2,226674,4052,451456,33860,576,58656
1965,3,230369,4116,457604,34556,608,60064
1965,4,235075,4244,468854,35608,620,62216
1966,1,236606,4336,477834,36264,648,64320
1966,2,237824,4336,487964,36880,664,66488
1966,3,242221,4464,487842,37824,696,67364
1966,4,242307,4492,493815,38316,716,68648
1967,1,244566,4364,492724,38928,708,69484
1967,2,249054,4460,503103,40168,732,71744
1967,3,248746,4396,504902,40596,744,72380
1967,4,253739,4332,506951,41816,732,73640
1968,1,256440,4208,511137,42836,720,75316
1968,2,257626,4084,525040,43436,720,77652
1968,3,262566,4148,532220,44664,728,79448
1968,4,266256,3984,539569,45752,732,81480
1969,1,272350,4044,546628,47088,752,83796
1969,2,271121,4104,549322,47596,784,85476
1969,3,273684,4268,555214,48508,828,87140
1969,4,277077,4236,563161,49640,836,89308
1970,1,274445,4304,566806,49716,864,91376
1970,2,276423,4368,566783,50348,888,92224
1970,3,281735,4340,572634,51440,900,94096
1970,4,284340,4436,573656,52124,928,94916
1971,1,282495,4344,570365,52244,912,96288
1971,2,292215,4564,586903,54692,980,100312
1971,3,298686,4728,603215,56416,1036,103624
1971,4,305168,4636,609885,58292,1040,106436
1972,1,306232,4932,607760,59084,1120,108148
1972,2,313857,4912,624960,61160,1148,112264
1972,3,316303,5076,626702,62664,1216,114384
1972,4,323497,5204,641551,64832,1268,119288
1973,1,332202,5020,658304,67576,1244,124756
1973,2,334520,5004,665444,69532,1260,130040
1973,3,336982,5220,667853,71744,1320,134524
1973,4,342948,5480,680334,74508,1400,142544
1974,1,352445,5536,685378,78400,1456,149300
1974,2,354146,5992,692878,81336,1616,155960
1974,3,355774,5716,692269,84220,1612,162244
1974,4,351536,5756,689058,86060,1660,165200
1975,1,359272,5792,684728,90072,1744,167444
1975,2,363707,5880,693627,92932,1832,173624
1975,3,370205,6048,706653,97192,1932,182216
1975,4,376538,6084,714896,101048,2016,188428
1976,1,376299,6232,727284,102924,2132,196248
1976,2,386045,6416,743021,107296,2252,206252
1976,3,387497,6468,746330,109468,2304,208448
1976,4,395441,6596,747868,113316,2380,212996
1977,1,393989,6616,758503,115916,2392,219912
1977,2,393006,6744,762578,117992,2472,224808
1977,3,399137,6596,766612,122720,2468,229724
1977,4,402885,6576,778733,126056,2488,235960
1978,1,405805,6672,785281,129652,2548,241320
1978,2,408522,6724,790668,132820,2612,248684
1978,3,410436,6944,798215,136596,2744,255204
1978,4,411585,7112,805215,140316,2824,263092
1979,1,417317,7368,811914,144964,2984,271400
1979,2,417327,7752,822851,148488,3232,284172
1979,3,418486,7568,828545,152048,3228,292920
1979,4,419539,7752,834060,155928,3356,301940
1980,1,422278,7908,839900,160552,3492,309784
1980,2,420635,7808,839633,164212,3560,317228
1980,3,427840,7892,838669,171584,3690,324764
1980,4,430264,8332,850244,177904,3958,339352
1981,1,430710,8660,868983,183864,4296,355992
1981,2,430309,8479,878750,188152,4256,367992
1981,3,428039,8314,870861,191908,4264,372820
1981,4,429061,8157,866874,195984,4308,376628
1982,1,422690,7859,856676,197408,4340,383004
1982,2,419347,7718,846763,201820,4424,386516
1982,3,417718,7749,839341,205872,4572,389560
1982,4,416226,7757,831597,209644,4664,393644
1983,1,422142,7749,845508,215060,4704,403236
1983,2,427407,7615,862126,220216,4700,415804
1983,3,432555,7600,871768,227116,4796,428960
1983,4,437255,7608,882754,232220,4948,437264
1984,1,441559,7129,897940,237300,4844,447840
1984,2,446141,7223,915503,241292,5048,459552
1984,3,446624,7262,919353,244116,5160,465180
1984,4,454380,7411,933920,250072,5252,475372
1985,1,459695,7953,948110,256064,5540,486096
1985,2,463876,8039,951132,261648,5560,495352
1985,3,473078,7843,963199,269032,5436,503872
1985,4,477946,7977,977982,273612,5572,514788
1986,1,477242,8117,977688,278316,5736,518612
1986,2,482968,7965,983246,282992,5756,523844
1986,3,489669,8090,984487,290144,5996,530220
1986,4,489913,7883,977378,293620,6032,533844
1987,1,494896,7616,999928,299812,6068,552484
1987,2,502956,7665,1012843,307308,6272,567420
1987,3,507406,7523,1028259,312276,6252,581680
1987,4,512895,8014,1041543,318784,6652,595760
1988,1,516028,8286,1056728,323548,6788,610948
1988,2,523449,8276,1066087,331616,6752,621168
1988,3,526742,8286,1066184,337720,6788,631392
1988,4,533377,8581,1073620,345500,7124,644068
1989,1,537195,8690,1085867,350084,7384,656160
1989,2,544116,8919,1090017,360504,7672,669792
1989,3,542312,9126,1093917,363644,7876,679132
1989,4,545852,9181,1091582,368656,7844,681232
1990,1,554046,9666,1101873,377640,8104,691928
1990,2,547349,10058,1097310,376564,8316,695624
1990,3,547376,10309,1089546,381124,8424,697684
1990,4,545467,10418,1079836,384916,8428,696768
1991,1,534089,10669,1064426,384944,8572,694008
1991,2,543037,10881,1069389,394100,8696,701572
1991,3,542556,11105,1070821,396708,8820,704796
1991,4,545614,11274,1072797,397192,8888,706716
1992,1,545600,11450,1073579,399628,9020,710008
1992,2,547725,11633,1074890,402796,9140,714744
1992,3,550621,11715,1080662,407892,9208,721660
1992,4,552618,11786,1086810,411256,9280,727332
1993,1,555603,11806,1093765,414924,9356,733952
1993,2,557725,11771,1103723,418744,9404,745360
1993,3,561534,11715,1114242,423136,9460,750068
1993,4,563122,11588,1119052,428144,9504,758768
1994,1,572744,11359,1135542,433604,9480,772656
1994,2,573588,11420,1152136,435024,9640,783660
1994,3,576082,11486,1166865,439308,9744,800784
1994,4,582772,11654,1175379,445936,9868,810788
1995,1,582490,11715,1186304,447164,9852,823972
1995,2,586815,11944,1186783,452588,9972,828856
1995,3,593048,12244,1188347,458104,10104,832976
1995,4,593009,12482,1193217,459084,10192,840680
1996,1,600893,12869,1194038,466832,10368,844208
1996,2,601632,13296,1202352,471220,10484,852904
1996,3,603551,13967,1212740,474864,10640,864544
1996,4,613979,14832,1222507,485368,10844,877680
1997,1,623617,16092,1238634,494624,11244,891748
1997,2,628444,16781,1252626,500624,11404,899412
1997,3,636756,16892,1267450,507948,11420,912564
1997,4,641220,16898,1279723,514376,11600,923980
1998,1,641880,16641,1297798,515676,11852,934612
1998,2,650067,16425,1298491,523380,11968,935212
1998,3,653632,16641,1310310,528316,12232,938872
1998,4,655070,17213,1328139,531536,12604,953496
1999,1,664192,17949,1352229,540372,12936,975240
1999,2,670392,18696,1363541,548376,13340,994172
1999,3,678376,19245,1384876,558312,13668,1021308
1999,4,684957,19374,1404357,566976,13748,1040988
2000,1,692463,19385,1426823,575536,13812,1070188
2000,2,698483,19520,1443782,583612,13960,1099448
2000,3,707365,19852,1458465,595828,14240,1121768
2000,4,708579,20331,1460962,601136,14624,1132880
2001,1,714392,20168,1468700,606376,14912,1149924
2001,2,715537,20384,1472658,614596,15204,1152860
2001,3,717183,20798,1471677,616472,15608,1138804
2001,4,725892,21248,1480637,623272,15848,1136584
2002,1,736646,21873,1502613,634584,16476,1158640
2002,2,745602,22719,1511469,648388,16884,1185892
2002,3,747115,22846,1524550,656668,17212,1204144
2002,4,754630,22937,1532914,666780,17420,1226100
2003,1,758664,22304,1541396,672940,17504,1250088
2003,2,765296,22235,1539123,677428,17404,1237720
2003,3,772438,21926,1544874,687100,17332,1258296
2003,4,773882,21389,1555533,687360,17272,1272884
2004,1,784209,21145,1566737,700760,17332,1296216
2004,2,788114,20778,1585347,709360,17672,1328148
2004,3,795440,21150,1604061,717072,18096,1351480
2004,4,801861,21538,1615585,724568,18684,1367080
2005,1,813035,22081,1621176,738364,19052,1380324
2005,2,820058,22362,1632938,748504,19456,1399608
2005,3,825517,22692,1652719,757540,19784,1436992
2005,4,833352,23043,1669060,765244,20056,1469436
2006,1,845036,23351,1682596,779144,20420,1476000
2006,2,852667,23426,1683465,789056,20732,1490716
2006,3,862048,23298,1688166,799500,20904,1504936
2006,4,870951,23325,1694895,806868,21060,1514764
2007,1,878693,22555,1705736,821208,20952,1547276
2007,2,891981,22739,1722263,837348,21064,1576612
2007,3,900362,22868,1729494,846584,21484,1582248
2007,4,916872,23424,1731459,862976,22080,1604508
2008,1,924095,24169,1732786,873300,23244,1637296
2008,2,925145,25055,1739053,880684,23940,1677448
2008,3,925694,25389,1753314,888472,24252,1694512
2008,4,914495,25462,1732984,871580,24312,1618908
2009,1,911646,25167,1693824,866320,23832,1557232
2009,2,919610,24349,1675340,873628,23040,1548488
2009,3,929661,23343,1682878,886432,22516,1567924
2009,4,936029,22915,1702503,900400,22484,1611692
2010,1,946496,23133,1723041,911508,22196,1644032
2010,2,954546,23429,1732057,919440,22620,1653240
2010,3,962245,23608,1744332,930732,23088,1665372
2010,4,970991,24302,1763825,945200,23692,1701548
2011,1,972728,24743,1777148,952556,24036,1737952
2011,2,977054,24983,1780610,963132,24588,1759852
2011,3,981039,25316,1805176,970660,24908,1785748
2011,4,987066,25308,1819392,981988,25132,1812700
2012,1,992771,25284,1820558,989668,25336,1815120
2012,2,993919,25541,1826496,993188,25428,1818984
2012,3,1000006,25681,1828984,1000460,25636,1830636
2012,4,1005516,25706,1832766,1008896,25812,1844064
2013,1,1011863,26264,1849206,1021024,26836,1876844
2013,2,1021213,26428,1859938,1032568,26336,1886592
2013,3,1028792,26176,1875096,1044832,26380,1912428
2013,4,1035215,26040,1894795,1053920,26164,1933124
2014,1,1038695,25568,1897892,1065680,26328,1963452
2014,2,1048213,25760,1915226,1082060,26612,1988404
2014,3,1055843,26132,1933594,1093188,26940,2013792
2014,4,1063496,26588,1946974,1104084,27424,2013944
2015,1,1065536,26400,1936275,1105264,27204,1984300
2015,2,1070760,27044,1931005,1114204,28192,1984920
2015,3,1078753,27332,1937835,1129568,28756,2000864
2015,4,1086341,28168,1939286,1139280,30148,1991680
